,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
69,70,spotify:track:7wdwIaXUuzlu1grzWMFRJm,Ghost,Mary On A Cross,UME - Global Clearing House,32,59,9,592911,244804.0,0.467,0.9,-4.505,0.000493,0.0451,130.027
70,71,spotify:track:3xWGA8pa0IKFI7IMPri4P0,Ed Sheeran,Shivers,Atlantic Records UK,1,56,57,588643,207853.0,0.788,0.859,-2.724,0.0,0.0856,141.02
71,72,spotify:track:38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Columbia,71,71,3,588522,210576.0,0.637,0.715,-4.971,0.0,0.0455,141.872
72,73,spotify:track:0JzG1wJuB4v9UPkSE7LMXi,Montell Fish,Hotel,"Lord’s Child, LLC",25,63,4,576668,197333.0,0.228,0.427,-8.739,0.0167,0.0363,180.345
73,74,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,79,66,567564,141806.0,0.591,0.764,-5.484,0.0,0.0483,169.928
74,75,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,2,83,61,558090,202735.0,0.795,0.8,-6.32,7.25e-05,0.0309,116.032
75,76,spotify:track:3y8xPhq9Ho1hCEMIE9DvZe,Stormzy,Mel Made Me Do It,0207 Def Jam,19,41,3,557695,440983.0,0.725,0.677,-6.609,0.0,0.348,100.043
76,77,spotify:track:6ex1Pz3pntgy4NPtxHXN2V,Ed Sheeran,Bad Habits,Atlantic Records UK,1,72,68,557572,230747.0,0.807,0.893,-3.745,2.79e-05,0.0347,126.011
77,78,spotify:track:3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,Red Zone Entertainment / IDJ,15,88,40,557407,234093.0,0.913,0.603,-4.892,0.000503,0.226,123.061
78,79,spotify:track:27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,"Legendbound, LLC / Def Jam Recordings",79,92,6,556256,99283.0,0.9,0.509,-6.647,1.67e-06,0.257,100.007
79,80,spotify:track:2wGSgTmgSF3xjRrHkTc25R,"The Game, 50 Cent",Hate It Or Love It,Geffen,46,93,16,554861,206400.0,0.802,0.785,-4.781,0.0,0.207,99.998
80,81,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",38,87,23,554123,236413.0,0.615,0.534,-6.719,1.76e-05,0.0386,135.917
81,82,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,53,85,256,553912,204280.0,0.484,0.731,-6.694,0.0,0.0379,101.654
82,83,spotify:track:3F5CgOj3wFlRv51JsHbxhe,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,4,80,17,553055,218365.0,0.529,0.673,-4.711,2.41e-06,0.175,165.921
83,84,spotify:track:1RF02Cf80mTaeNXG2P2boR,"Nathan Dawe, Ella Henderson",21 Reasons (feat. Ella Henderson),Atlantic Records UK,14,82,24,552538,155253.0,0.621,0.785,-4.499,5.92e-06,0.11,123.96
84,85,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,51,90,46,550328,289533.0,0.315,0.715,-8.072,7.97e-06,0.0362,155.925
85,86,spotify:track:3uUuGVFu1V7jTQL60S1r8z,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,2,86,53,546994,148197.0,0.671,0.636,-8.117,0.000411,0.103,120.966
86,87,spotify:track:7Kbw2fTMOU43MrqXdGzroh,Mimi Webb,Ghost of You,Epic,87,-1,1,544844,158064.0,0.737,0.858,-4.1,0.0,0.0648,126.254
87,88,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,88,94,12,534846,260253.0,0.586,0.525,-7.163,0.0,0.0615,133.629
88,89,spotify:track:0wHFktze2PHC5jDt3B17DC,Jack Harlow,First Class,Generation Now/Atlantic,2,89,27,530226,173948.0,0.902,0.582,-5.902,3.18e-06,0.109,107.005
89,90,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,96,150,526147,200040.0,0.514,0.73,-5.934,9.54e-05,0.0598,171.005
90,91,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,95,74,523162,178147.0,0.563,0.664,-5.044,0.0,0.154,166.928
91,92,spotify:track:5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall - Remastered,Big Brother Recordings Ltd,61,98,298,522903,258773.0,0.378,0.896,-4.066,0.0,0.0407,174.302
92,93,spotify:track:2zzLRQ78kKfPTx8FJQCdC2,Arctic Monkeys,When The Sun Goes Down,Domino Recording Co,73,73,40,522050,202133.0,0.348,0.875,-4.758,0.0,0.199,169.152
93,94,spotify:track:2AT8iROs4FQueDv2c8q2KE,Arctic Monkeys,R U Mine?,Domino Recording Co,70,70,18,520041,201726.0,0.288,0.758,-5.692,0.0,0.0371,97.094
94,95,spotify:track:1Fid2jjqsHViMX6xNH70hE,Seafret,Atlantis,Sweet Jane Recordings,80,91,9,518640,229173.0,0.4,0.479,-7.989,2.14e-06,0.0308,166.159
95,96,spotify:track:7MIhUdNJtaOnDmC5nBC1fb,"Alok, Ella Eyre, Kenny Dope, Never Dull",Deep Down (feat. Never Dull),Columbia/B1 Recordings,92,107,9,516249,165753.0,0.687,0.818,-4.221,0.0,0.0778,125.952
96,97,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,57,103,82,514888,284200.0,0.949,0.661,-4.244,0.0,0.0572,104.504
97,98,spotify:track:5gpyyqA9WZyWu24ESUzrkk,Central Cee,LA Leakers Freestyle,Central Cee,49,81,5,511080,178000.0,0.797,0.832,-6.084,5e-06,0.226,142.001
98,99,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,106,52,510081,224695.0,0.604,0.366,-7.519,0.0,0.0282,141.981
99,100,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,RCA Records Label,81,110,83,504828,203347.0,0.542,0.905,-5.653,0.0104,0.054,153.398
100,101,spotify:track:0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back In Anger - Remastered,Big Brother Recordings Ltd,44,105,248,504636,289560.0,0.327,0.938,-3.237,3.79e-06,0.0645,162.937
101,102,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,102,130,6,502672,176667.0,0.346,0.5,-6.097,0.0,0.0388,202.466
102,103,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,51,112,62,499651,290320.0,0.908,0.669,-2.827,0.0,0.0738,112.238
103,104,spotify:track:3sa06xVNmLLYIxdNNmVQN8,"Jax Jones, MNEK",Where Did You Go? (feat. MNEK),Polydor Records,9,118,36,497031,177689.0,0.763,0.782,-4.541,7.08e-06,0.0346,127.034
104,105,spotify:track:78UihSJn90VSGBBES12kFL,D-Block Europe,4 The Win,D-Block Europe,27,64,3,496226,207083.0,0.76,0.627,-6.81,0.0,0.333,143.982
105,106,spotify:track:78nvT4euebtCsEigaNt4aa,KSI,Summer Is Over,Atlantic Records UK,52,52,2,496036,188561.0,0.349,0.745,-5.234,1.18e-05,0.0454,95.98
106,107,spotify:track:0NdTUS4UiNYCNn5FgVqKQY,Arctic Monkeys,Snap Out Of It,Domino Recording Co,78,78,6,495873,193030.0,0.728,0.638,-6.455,0.0,0.0336,130.014
107,108,spotify:track:11jRCxY01k9jvCdUru0EeP,Arctic Monkeys,Body Paint,Domino Recording Co,33,33,2,494515,290584.0,0.56,0.313,-11.653,0.0,0.0627,144.745
108,109,spotify:track:2K3Xp4H1Er79eEjhDcXjWX,"D-Block Europe, Ghost Killer Track",Elegant & Gang,D-Block Europe,26,102,18,493990,205200.0,0.7,0.461,-12.973,0.0,0.339,100.0
109,110,spotify:track:3UmaczJpikHgJFyBTAJVoz,"Eminem, Dido",Stan,Interscope,90,115,41,489571,404107.0,0.78,0.768,-4.325,2.34e-06,0.238,80.063
110,111,spotify:track:337kcYVjYXdLBItCw9ry3b,"D-Block Europe, Central Cee",Overseas,D-Block Europe,2,104,47,485423,222155.0,0.838,0.623,-7.524,0.0,0.354,135.935
111,112,spotify:track:1FEiijYPJtyswChfcpv3p0,Lana Del Rey,Summertime Sadness,Polydor Records,85,117,12,483693,264773.0,0.568,0.646,-6.793,0.0,0.0332,111.945
112,113,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,Universal Republic Records,22,111,10,483453,241067.0,0.323,0.737,-4.008,0.000162,0.0338,113.26
113,114,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,2,114,65,482423,230453.0,0.679,0.587,-7.015,6.35e-06,0.276,186.003
114,115,spotify:track:5IfHQilcjciOxJQBFCNCCN,"Joel Corry, Becky Hill",HISTORY,Atlantic Records UK,28,100,10,476301,176610.0,0.674,0.86,-3.318,3.21e-06,0.0369,122.975
115,116,spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,Declan McKenna,Brazil,Columbia,67,123,22,473546,252307.0,0.687,0.617,-5.213,1.27e-05,0.0287,121.079
116,117,spotify:track:3DQVgcqaP3iSMbaKsd57l5,Arctic Monkeys,I Bet You Look Good On The Dancefloor,Domino Recording Co,90,99,23,468972,173680.0,0.535,0.948,-4.19,0.0,0.0356,103.183
117,118,spotify:track:45bfH0GZvUyujIBiKRhXso,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All),Warner Records,12,108,11,467031,358267.0,0.756,0.962,-7.526,0.703,0.0583,136.981
118,119,spotify:track:4qtdkdTY1t3RmlmSbWykzR,"Sigala, Talia Mar",Stay the Night,Ministry of Sound Recordings,25,84,20,466767,171955.0,0.636,0.936,-2.65,0.0,0.0729,124.034
119,120,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,84,131,115,465347,241688.0,0.566,0.664,-5.303,0.0,0.0464,128.945
120,121,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,121,139,6,465182,165265.0,0.772,0.75,-3.67,0.0,0.0455,114.061
121,122,spotify:track:5hnGrTBaEsdukpDF6aZg8a,Dean Lewis,How Do I Say Goodbye,Universal Music Australia Pty. Ltd.,122,200,2,464525,163603.0,0.4,0.641,-6.303,0.0,0.0674,81.552
122,123,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Matilda,Columbia,4,119,21,461769,245964.0,0.507,0.294,-10.0,1.97e-05,0.04,114.199
123,124,spotify:track:5LYMamLv12UPbemOaTPyeV,Harry Styles,Music For a Sushi Restaurant,Columbia,3,116,21,457651,193813.0,0.72,0.715,-4.652,0.0568,0.04,107.041
124,125,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,128,149,454362,174000.0,0.548,0.816,-4.209,0.0,0.0465,95.39
125,126,spotify:track:7ef4DlsgrMEH11cDZd32M6,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),Sony Music UK,1,125,122,453504,214847.0,0.791,0.862,-3.24,2.19e-05,0.11,123.994
126,127,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,17,133,130,451734,257800.0,0.828,0.492,-9.744,0.00428,0.0276,120.151
127,128,spotify:track:6RZo8T7GY9EoWZXC5i2587,"Cat Burns, goddard.",go - goddard. Remix,Since 93,10,122,31,449906,192514.0,0.728,0.689,-6.601,6.14e-05,0.13,89.973
128,129,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,4,127,63,449045,298899.0,0.332,0.225,-8.697,0.00349,0.0348,81.055
129,130,spotify:track:1jDJFeK9x3OZboIAHsY9k2,Elton John,I'm Still Standing,EMI,109,149,45,445857,183440.0,0.504,0.904,-6.863,0.121,0.179,176.808
130,131,spotify:track:2zxEc1GCSCxbHIXTfhraRC,"Dave, Stormzy",Clash (feat. Stormzy),Neighbourhood,2,124,66,443482,251733.0,0.871,0.519,-6.549,8.14e-06,0.258,140.013
131,132,spotify:track:2DB4DdfCFMw1iaR6JaR03a,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),Epic,7,121,32,442509,206071.0,0.756,0.697,-6.377,0.0,0.0401,94.996
132,133,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,Cigarettes After Sex,Apocalypse,Partisan Records,133,137,6,441552,290147.0,0.369,0.467,-9.018,0.46,0.0274,94.473
133,134,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,The Kooks,Naive,Virgin Records,68,148,250,436984,203507.0,0.391,0.808,-6.209,0.0,0.0892,100.304
134,135,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,118,140,9,436499,111627.0,0.715,0.47,-12.638,0.0923,0.0772,89.965
