,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms,danceability,energy,loudness,instrumentalness,speechiness,tempo
145,146,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,Beyoncé,BREAK MY SOUL,Parkwood Entertainment/Columbia,12,130,17,6942867,278282.0,0.693,0.887,-5.039,2.71e-06,0.0795,114.942
146,147,spotify:track:13Irp51zj01BZu2XtDrnAg,Lizzo,2 Be Loved (Am I Ready),Nice Life/Atlantic,147,148,4,6937150,187108.0,0.721,0.769,-4.111,0.0,0.105,155.932
147,148,spotify:track:1dm6z1fWB0cErMszU25dy2,Bad Bunny,Después de la Playa,Rimas Entertainment LLC,7,117,23,6927016,230400.0,0.564,0.903,-3.221,0.0,0.307,78.293
148,149,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),105,149,19,6893785,251489.0,0.645,0.795,-12.095,0.00389,0.0527,112.067
149,150,spotify:track:4tRhRLBxIZ34Iw0eCuiC03,southstar,Miss You,Columbia/B1 Recordings,150,-1,1,6874270,206385.0,0.663,0.559,-12.876,0.0894,0.0391,145.007
150,151,spotify:track:46HNZY1i7O6jwTA7Slo2PI,"Coldplay, BTS",My Universe,Parlophone UK,3,131,55,6855183,226198.0,0.573,0.711,-6.268,0.0,0.0406,105.006
151,152,spotify:track:0a4MMyCrzT0En247IhqZbD,NewJeans,Hype Boy,ADOR,85,132,9,6797546,179027.0,0.593,0.935,-3.43,0.0,0.225,99.976
152,153,spotify:track:10xV5l9nhLvFpR8mqzs0bL,"Marshmello, Khalid",Numb,Joytime Collective/RCA Records,110,157,18,6792429,155589.0,0.912,0.774,-4.673,0.0127,0.0455,119.966
153,154,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,12,154,116,6774494,198040.0,0.357,0.425,-7.301,0.0,0.0333,102.078
154,155,spotify:track:3PpWCS95gDUDRPko3u1MZ9,Feid,Prohibidox,UMLE - Latino,99,135,4,6771359,166253.0,0.647,0.801,-2.946,0.0,0.249,180.108
155,156,spotify:track:7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Sweet Child O' Mine,Guns N Roses P&D,101,150,19,6737436,354520.0,0.454,0.91,-7.766,0.0996,0.0448,125.116
156,157,spotify:track:5gDWsRxpJ2lZAffh5p7K0w,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,148,160,13,6735351,111627.0,0.715,0.47,-12.638,0.0923,0.0772,89.965
157,158,spotify:track:0L8LOav65XwLjCLS11gNPD,BLACKPINK,Typa Girl,YG Entertainment/Interscope Records,14,103,4,6720440,179173.0,0.915,0.621,-6.519,0.0,0.1,131.984
158,159,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,4,147,66,6697718,287120.0,0.762,0.766,-3.955,6.98e-05,0.0343,130.001
159,160,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,101,158,83,6663347,257267.0,0.664,0.705,-4.972,0.0,0.0382,122.016
160,161,spotify:track:1XGmzt0PVuFgQYYnV2It7A,"Maroon 5, Wiz Khalifa",Payphone,Interscope Records*,70,162,43,6655551,231173.0,0.743,0.752,-4.813,0.0,0.0414,110.015
161,162,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,153,71,6641336,206710.0,0.644,0.648,-4.601,0.0,0.118,179.951
162,163,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,159,208,6633078,157560.0,0.755,0.522,-4.368,0.0,0.0575,89.96
163,164,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,166,80,6627147,215507.0,0.442,0.612,-7.222,5.7e-06,0.112,180.917
164,165,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,109,167,70,6593738,253920.0,0.82,0.452,-9.796,0.00294,0.0348,117.401
165,166,spotify:track:6DoL1yYIwEW7VZMRaJhoJI,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),UMLE - Latino,53,138,21,6593231,254920.0,0.795,0.845,-3.809,1.14e-05,0.135,170.023
166,167,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,63,195,33,6571113,120027.0,0.746,0.251,-16.169,0.00203,0.259,139.999
167,168,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,Columbia,99,163,98,6546871,260173.0,0.588,0.521,-9.461,0.149,0.0329,85.012
168,169,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,103,168,92,6499979,300893.0,0.489,0.918,-4.502,7.64e-05,0.0554,116.731
169,170,spotify:track:6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Coco,Rimas Entertainment LLC,25,151,23,6487094,196413.0,0.839,0.69,-4.464,8.33e-06,0.0615,151.991
170,171,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,122,165,93,6433919,204280.0,0.484,0.731,-6.694,0.0,0.0379,101.654
171,172,spotify:track:1v7L65Lzy0j0vdpRjJewt1,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",Aftermath,44,172,95,6433733,322227.0,0.686,0.735,-4.616,0.00066,0.264,171.355
172,173,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship/ Bad Habit/Atlantic Records,92,170,14,6379597,172342.0,0.795,0.565,-4.457,0.0,0.0948,87.925
173,174,spotify:track:7fZBQnc0zXwVybgCIrQQil,"Imanbek, BYOR",Belly Dancer,Musical Freedom,77,156,20,6363697,151475.0,0.845,0.797,-4.984,5.57e-06,0.139,121.985
174,175,spotify:track:4woTEX1wYOTGDqNXuavlRC,"Eminem, Dina Rae",Superman,Aftermath,175,196,2,6332145,350320.0,0.802,0.755,-3.138,0.0,0.0564,130.027
175,176,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,11,174,16,6309378,261923.0,0.532,0.623,-9.208,7.28e-05,0.0331,89.937
176,177,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,149,179,41,6285242,258432.0,0.633,0.927,-4.468,0.0,0.0839,146.097
177,178,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,176,163,6281976,215280.0,0.695,0.762,-3.497,0.00244,0.0395,120.042
178,179,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,106,178,41,6263568,233653.0,0.728,0.697,-4.125,0.0,0.0456,143.986
179,180,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,152,154,6242778,183290.0,0.793,0.793,-4.521,0.0,0.083,123.95
180,181,spotify:track:1OZ4uv7OAP24Ix6j3vojLt,"Mc Paiva ZS, MC Ryan SP, Kotim",Casei Com a Putaria,Love Funk,181,200,5,6229632,157500.0,0.585,0.6,-7.008,0.0,0.436,160.635
181,182,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,181,186,7,6220603,213827.0,0.601,0.271,-8.688,0.0,0.0403,145.494
182,183,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,EMI,11,175,211,6179127,354320.0,0.414,0.404,-9.928,0.0,0.0499,71.105
183,184,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,108,187,92,6155237,241688.0,0.566,0.664,-5.303,0.0,0.0464,128.945
184,185,spotify:track:5qaEfEh1AtSdrdrByCP7qR,Imagine Dragons,Demons,Kid Ina Korner / Interscope,178,194,8,6129225,177507.0,0.505,0.71,-3.015,0.00025,0.0321,89.938
185,186,spotify:track:0kqTXMHiQiB7IECD0WwcPq,TWICE,Talk that Talk,Republic Records - TWICE,54,161,7,6124941,177467.0,0.774,0.905,-2.432,0.0,0.122,119.964
186,187,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,55,185,33,6122530,208212.0,0.544,0.369,-9.514,0.279,0.038,87.01
187,188,spotify:track:4w273WCBXwM4P3jTX5HkB2,"Grupo Marca Registrada, Junior H",El Rescate,RB Music,129,171,12,6096505,160897.0,0.794,0.594,-8.698,0.000381,0.139,99.238
188,189,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,2,177,186,6081492,247160.0,0.617,0.635,-6.769,1.44e-05,0.0317,103.019
189,190,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhayco",DÁKITI,Rimas Entertainment LLC,1,193,102,6060587,205090.0,0.731,0.573,-10.059,5.22e-05,0.0544,109.928
190,191,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,189,296,6030752,233713.0,0.825,0.652,-3.183,0.0,0.0802,95.977
191,192,spotify:track:5CzixCxDkRXX9mScCmah8O,Bad Bunny,Un Ratito,Rimas Entertainment LLC,10,155,23,6025099,176936.0,0.787,0.546,-7.094,4.55e-05,0.0532,93.05
192,193,spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),Republic Records,73,164,14,6008951,146471.0,0.723,0.772,-6.784,1.15e-05,0.0792,102.004
193,194,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,NewJeans,Attention,ADOR,81,173,9,6007406,180067.0,0.811,0.648,-3.684,0.0,0.0368,104.988
194,195,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,98,197,116,5990388,222973.0,0.352,0.911,-5.23,0.0,0.0747,148.033
195,196,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,BIGHIT MUSIC,2,191,112,5984793,199054.0,0.746,0.765,-4.41,0.0,0.0993,114.044
196,197,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,3,192,79,5968723,208667.0,0.764,0.705,-3.463,8.92e-05,0.0284,110.97
197,198,spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,There's Nothing Holdin' Me Back,Island Records,5,-1,78,5922593,199440.0,0.866,0.813,-4.063,0.0,0.0554,121.998
198,199,spotify:track:2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Softcore,Columbia,35,198,37,5908756,206280.0,0.575,0.568,-5.509,0.000417,0.03,93.986
199,200,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,3,-1,55,5889409,143901.0,0.737,0.846,-4.51,0.0,0.22,87.981
